#月,日,時,分,傾斜面日射強度,直達日射強度,散乱光日射強度,反射光日射強度,水平面日射強度,PV電力,発電電力,PV電圧,PV電流,PV温度,外気温度,システム出力係数,PV効率,PV電力(定格比),発電電力(定格比)
#月,日,時,分,kW/㎡,kW/㎡,kW/㎡,kW/㎡,kW/㎡,kW,kW,V,A,℃,℃,%,%,kW/kWp,kW/kWp
1,3,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.70,3.70,0.00,0.00,0.00,0.00
1,3,2,30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.80,3.80,0.00,0.00,0.00,0.00
1,3,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.65,3.65,0.00,0.00,0.00,0.00
1,3,3,30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.50,3.50,0.00,0.00,0.00,0.00
1,3,4,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.55,3.55,0.00,0.00,0.00,0.00
1,3,4,30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.60,3.60,0.00,0.00,0.00,0.00
1,3,5,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.60,3.60,0.00,0.00,0.00,0.00
1,3,5,30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.60,3.60,0.00,0.00,0.00,0.00
1,3,6,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.50,3.50,0.00,0.00,0.00,0.00
1,3,6,30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.40,3.40,0.00,0.00,0.00,0.00
1,3,7,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.70,3.70,0.00,0.00,0.00,0.00
1,3,7,30,0.03,0.00,0.03,0.00,0.03,2.80,2.75,355.19,7.89,4.96,4.00,100.21,23.31,0.03,0.03
1,3,8,0,0.12,0.07,0.05,0.00,0.08,8.54,8.39,350.41,24.38,9.01,4.80,69.97,16.27,0.09,0.09
1,3,8,30,0.20,0.12,0.07,0.00,0.14,14.14,13.89,350.80,40.32,12.27,5.60,73.20,17.02,0.15,0.14
1,3,9,0,0.32,0.24,0.08,0.00,0.24,29.06,28.53,393.02,73.93,17.27,6.55,93.51,21.75,0.30,0.29
1,3,9,30,0.43,0.35,0.08,0.00,0.33,39.36,38.65,395.63,99.48,22.08,7.50,93.17,21.67,0.41,0.40
1,3,10,0,0.47,0.33,0.14,0.00,0.37,43.07,42.30,395.92,108.79,23.58,7.60,93.02,21.64,0.45,0.44
1,3,10,30,0.51,0.32,0.19,0.00,0.42,46.81,45.97,396.04,118.19,25.10,7.70,92.85,21.59,0.48,0.48
1,3,11,0,0.55,0.37,0.19,0.00,0.45,50.57,49.28,395.56,127.84,27.16,8.30,91.82,21.52,0.52,0.51
1,3,11,30,0.60,0.41,0.18,0.00,0.49,54.34,49.50,394.92,137.59,29.24,8.90,85.51,21.44,0.56,0.51
1,3,12,0,0.57,0.36,0.22,0.00,0.47,52.20,49.50,395.26,132.06,28.10,8.60,89.20,21.48,0.54,0.51
1,3,12,30,0.55,0.30,0.24,0.00,0.46,49.76,48.66,395.56,125.79,26.85,8.30,92.20,21.53,0.51,0.50
1,3,13,0,0.48,0.23,0.24,0.00,0.40,43.76,42.98,395.40,110.68,24.51,8.25,92.86,21.60,0.45,0.44
1,3,13,30,0.41,0.17,0.24,0.00,0.35,37.72,37.04,394.80,95.53,22.18,8.20,93.07,21.65,0.39,0.38
1,3,14,0,0.26,0.08,0.17,0.00,0.23,23.85,23.42,390.23,61.11,16.37,7.55,93.29,21.70,0.25,0.24
1,3,14,30,0.10,0.00,0.10,0.00,0.11,9.59,9.42,377.12,25.44,10.45,6.90,93.22,21.68,0.10,0.10
1,3,15,0,0.09,0.00,0.09,0.00,0.09,8.32,8.17,373.93,22.26,9.67,6.60,93.41,21.73,0.09,0.08
1,3,15,30,0.08,0.00,0.08,0.00,0.08,7.07,6.94,371.53,19.03,8.90,6.30,93.73,21.80,0.07,0.07
1,3,16,0,0.05,0.00,0.05,0.00,0.05,4.85,4.77,364.43,13.32,7.61,5.85,95.08,22.11,0.05,0.05
1,3,16,30,0.03,0.00,0.03,0.00,0.03,2.70,2.66,353.47,7.65,6.33,5.40,100.33,23.34,0.03,0.03
1,3,17,0,0.02,0.00,0.02,0.00,0.02,1.65,1.62,343.65,4.80,5.76,5.25,111.31,25.89,0.02,0.02
1,3,17,30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.10,5.10,0.00,0.00,0.00,0.00
1,3,18,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.70,4.70,0.00,0.00,0.00,0.00
1,3,18,30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.30,4.30,0.00,0.00,0.00,0.00
1,3,19,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.55,4.55,0.00,0.00,0.00,0.00
1,3,19,30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.80,4.80,0.00,0.00,0.00,0.00
1,3,20,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.70,4.70,0.00,0.00,0.00,0.00
1,3,20,30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.60,4.60,0.00,0.00,0.00,0.00
1,3,21,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.70,4.70,0.00,0.00,0.00,0.00
1,3,21,30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.80,4.80,0.00,0.00,0.00,0.00
1,3,22,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.40,4.40,0.00,0.00,0.00,0.00
1,3,22,30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,4.00,0.00,0.00,0.00,0.00
1,3,23,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.70,3.70,0.00,0.00,0.00,0.00
1,3,23,30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.40,3.40,0.00,0.00,0.00,0.00
1,4,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.10,3.10,0.00,0.00,0.00,0.00
1,4,0,30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.10,3.10,0.00,0.00,0.00,0.00
1,4,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,3.00,0.00,0.00,0.00,0.00
1,4,1,30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.90,2.90,0.00,0.00,0.00,0.00
1,4,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.15,3.15,0.00,0.00,0.00,0.00
1,4,2,30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.40,3.40,0.00,0.00,0.00,0.00
1,4,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.40,3.40,0.00,0.00,0.00,0.00
1,4,3,30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.40,3.40,0.00,0.00,0.00,0.00
